Date,Not indexed,Indexed,Impressions
2026-06-30,1,0,0
2026-07-01,0,5,0
2026-07-02,0,5,0
2026-07-03,0,5,1
2026-07-04,0,5,2
2026-07-05,0,5,0
2026-07-06,0,5,0
2026-07-07,0,5,1
2026-07-08,0,5,0
2026-07-09,0,5,0
2026-07-10,0,5,0
2026-07-11,0,6,0
2026-07-12,0,6,1
2026-07-13,0,6,0
2026-07-14,0,6,0
2026-07-15,0,6,0
2026-07-16,0,6,0
2026-07-17,0,6,1
2026-07-18,0,6,0
2026-07-19,0,6,0
2026-07-20,0,6,0
2026-07-21,0,6,2
2026-07-22,0,6,1
2026-07-23,0,6,1
2026-07-24,0,6,0
